name,instance_id,n_vars,n_clauses,status,solver,time_sec,decisions,conflicts,learned,proof_size,proof_depth
tauto(p -> p),0,1,0,PROVED,NeuroProof+ATSS,0.00011439999798312783,0,0,0,2,1
tauto(p -> p),1,1,0,PROVED,NeuroProof-noATSS,4.140000237384811e-05,0,0,0,2,1
tauto((p -> q) -> (q -> r) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,0.0009325999999418855,0,0,0,5,4
tauto((p -> q) -> (q -> r) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,0.000382099999114871,0,0,0,5,4
tauto((p & q) -> p),0,2,0,PROVED,NeuroProof+ATSS,5.539999983739108e-05,0,0,0,3,2
tauto((p & q) -> p),1,2,0,PROVED,NeuroProof-noATSS,3.819999983534217e-05,0,0,0,3,2
tauto((p & q) -> q),0,2,0,PROVED,NeuroProof+ATSS,0.00017839999782154337,0,0,0,3,2
tauto((p & q) -> q),1,2,0,PROVED,NeuroProof-noATSS,0.0001618999958736822,0,0,0,3,2
tauto(p -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,5.660000169882551e-05,0,0,0,4,3
tauto(p -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,4.959999932907522e-05,0,0,0,4,3
tauto(p -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,5.5900003644637764e-05,0,0,0,4,3
tauto(p -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,5.129999772179872e-05,0,0,0,4,3
tauto(q -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,3.970000398112461e-05,0,0,0,5,4
tauto(q -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,3.409999771974981e-05,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.0003899000003002584,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,0.0004048999981023371,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,5.94000011915341e-05,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,4.9500005843583494e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,6.969999958528206e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,6.519999442389235e-05,0,0,0,5,4
tauto((p <-> q) -> (q <-> p)),0,2,0,PROVED,NeuroProof+ATSS,9.43000050028786e-05,0,0,0,10,5
tauto((p <-> q) -> (q <-> p)),1,2,0,PROVED,NeuroProof-noATSS,9.069999941857532e-05,0,0,0,10,5
tauto(((p | q) & ~p) -> q),0,2,0,PROVED,NeuroProof+ATSS,5.160000000614673e-05,0,0,0,4,3
tauto(((p | q) & ~p) -> q),1,2,0,PROVED,NeuroProof-noATSS,4.819999594474211e-05,0,0,0,4,3
tauto(p | ~p),0,1,0,PROVED,NeuroProof+ATSS,2.8800001018680632e-05,0,0,0,3,2
tauto(p | ~p),1,1,0,PROVED,NeuroProof-noATSS,2.390000008745119e-05,0,0,0,3,2
tauto(~(p & ~p)),0,1,0,PROVED,NeuroProof+ATSS,9.059999865712598e-05,0,0,0,4,3
tauto(~(p & ~p)),1,1,0,PROVED,NeuroProof-noATSS,3.390000347280875e-05,0,0,0,4,3
tauto((p -> q) -> (~q -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.0001049999991664663,0,0,0,6,5
tauto((p -> q) -> (~q -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,7.190000178525224e-05,0,0,0,6,5
